week	min_temp	max_temp	rainfall_in	humidity	acidity	sunlight_exposure	elevation	experience	size_of_farm	technique	pests	natural_disaster_occurance	disease	success
48	106	106	40.01	57.0	10.77	13.57	12823.4429111489	10	19.76	machines	high	true	false	true
3	94	111	41.92	35.29	10.84	23.35	392.9141592888	7	20.35	machines	moderate	false	false	false
10	21	37	39.84	58.71	7.15	8.18	173.675817268	7	17.57	hand	low	true	false	false
43	-12	8	36.93	51.7	9.87	10.09	4261.2832693909	8	17.86	machines	low	false	true	false
41	-7	-4	37.87	12.04	9.7	11.9	362.490144309	8	22.95	hand	moderate	true	false	true
47	6	20	29.81	72.67	10.11	8.75	926.1899048533	7	17.93	machines	low	false	false	false
38	-2	11	45.27	43.1	12.06	7.57	44.2476802928	10	10.95	hand	high	false	false	false
26	-13	-4	31.49	81.3	9.35	8.19	4558.1443368254	12	32.83	hand	low	true	true	false
52	-2	2	36.28	66.39	9.26	3.76	2395.7390119552	9	23.97	hand	high	false	true	false
40	12	13	38.42	25.87	10.5	11.48	8963.453709398	11	16.99	hand	low	false	false	true
24	-10	-4	39.28	38.08	12.34	15.49	269.1951349606	14	30.83	hand	low	false	true	true
15	-10	-1	29.35	48.39	11.49	12.79	3527.7082301258	9	24.82	hand	low	false	true	false
19	-10	8	37.66	39.25	4.66	11.71	202.7708920328	5	20.32	machines	moderate	false	true	true
51	48	63	41.13	28.67	11.44	7.02	5314.0786585028	7	12.68	hand	moderate	true	false	true
27	84	92	37.22	49.9	10.07	15.25	1905.3323461606	9	8.04	machines	moderate	true	true	false
9	99	99	32.13	77.26	13.42	3.9	5746.33205696	12	25.74	hand	high	true	true	false
34	69	82	40.27	45.46	10.44	11.19	3508.9249907907	9	15.33	machines	high	false	true	false
24	78	78	39.99	51.95	7.49	8.45	5032.5641167797	12	25.54	hand	high	false	true	false
46	78	88	32.79	65.01	11.72	12.31	10.2177655594	12	17.99	machines	low	false	false	true
33	45	54	38.84	55.08	12.84	17.35	2119.5484618212	12	14.85	hand	moderate	false	true	false
32	20	35	27.68	29.97	11.34	8.61	8878.1491267563	10	19.04	machines	high	true	true	true
31	-4	-3	41.36	48.87	10.11	14.2	7364.4070337843	8	12.57	machines	high	true	true	false
23	56	57	44.27	52.09	10.08	3.13	5887.5501080374	13	17.39	machines	high	false	false	false
35	49	60	38.87	44.23	10.71	13.2	14132.9018714623	17	22.82	hand	high	true	true	false
46	0	19	38.8	50.98	7.82	10.69	5318.6077818606	7	11.07	hand	high	true	false	false
16	99	106	41.93	24.03	7.5	13.56	2181.5323528872	11	20.04	hand	moderate	false	true	true
41	110	127	40.23	30.32	12.13	12.67	7538.1720053863	13	26.52	hand	moderate	true	false	false
1	-12	4	29.56	67.04	8.34	23.18	4427.0321118401	10	16.4	hand	low	false	false	false
31	82	86	39.01	44.84	12.36	15.13	9346.2886330733	15	15.89	machines	low	true	true	true
21	-6	-3	36.91	51.28	12.87	16.23	10603.2808279601	14	6.36	hand	high	true	true	false
30	13	21	32.86	46.57	11.2	4.61	8227.2481128612	8	22.27	hand	moderate	false	false	true
52	4	7	35.98	41.88	9.96	11.05	3002.9054958927	8	24.2	hand	low	false	false	false
5	67	78	43.71	19.55	8.27	13.89	2582.0451764146	11	26.68	hand	high	true	false	false
31	47	65	35.34	30.19	9.72	14.15	2800.6828153308	5	24.81	machines	high	true	false	true
3	39	51	38.36	65.51	8.91	9.53	2417.3045815999	14	22.38	machines	low	true	false	false
10	77	86	36.7	42.22	8.28	8.77	5131.6148281037	11	17.26	machines	low	false	false	true
33	67	81	37.87	48.88	10.63	6.06	249.9184040847	18	20.05	hand	low	false	true	true
4	58	68	38.3	55.05	10.78	13.52	6273.0650191183	8	17.58	machines	low	true	true	false
46	45	48	36.22	71.35	10.06	10.34	12749.8484569798	6	32.06	machines	low	false	true	false
21	-2	6	39.03	42.99	8.62	8.84	6902.0807666568	10	22.69	machines	moderate	false	false	true
25	72	92	33.82	49.42	9.99	11.15	4402.9337110802	7	15.81	hand	high	false	false	true
15	100	106	39.76	37.57	8.3	17.35	491.2048854959	10	24.16	hand	moderate	true	true	true
18	36	39	45.31	70.17	10.21	1.89	2857.4071324248	13	18.59	machines	high	false	false	false
